product_name,2026-03-26;start,2026-03-26;end,2026-03-27;start,2026-03-27;end,2026-03-28;start,2026-03-28;end,2026-03-29;start,2026-03-29;end,2026-03-30;start,2026-03-30;end,2026-03-31;start,2026-03-31;end,2026-04-01;start,2026-04-01;end,2026-04-02;start,2026-04-02;end,2026-04-03;start,2026-04-03;end,2026-04-04;start,2026-04-04;end,2026-04-05;start,2026-04-05;end,2026-04-06;start,2026-04-06;end,2026-04-07;start,2026-04-07;end,2026-04-08;start,2026-04-08;end,2026-04-09;start,2026-04-09;end,2026-04-10;start,2026-04-10;end,2026-04-11;start,2026-04-11;end,2026-04-12;start,2026-04-12;end,2026-04-13;start,2026-04-13;end,2026-04-14;start,2026-04-14;end,2026-04-15;start,2026-04-15;end,2026-04-16;start,2026-04-16;end,2026-04-17;start,2026-04-17;end,2026-04-18;start,2026-04-18;end,2026-04-19;start,2026-04-19;end,2026-04-20;start,2026-04-20;end,2026-04-21;start,2026-04-21;end,2026-04-22;start,2026-04-22;end,2026-04-23;start,2026-04-23;end,2026-04-24;start,2026-04-24;end
Fauvism Floral Study,151142.52,57937.48,162478.95,47300.73,167554.35,42026.69,146802.32,61764.59,170446.65,41356.0,162354.79,49234.94,141729.94,73045.71,146875.73,70155.11,138634.67,79199.56,160358.04,56588.42,175249.88,44102.38,154377.94,65354.22,161066.43,60496.92,150730.7,67911.16,136982.21,84846.9,176529.53,45088.09,163639.07,62431.47,139258.56,84996.8,146485.07,77398.78,143530.19,81108.71,144295.74,78523.13,150035.96,73242.57,136292.88,84887.29,153683.4,69995.92,151633.22,59183.27,152616.88,71747.63,158969.0,65615.33,142045.38,80977.02,172816.5,49956.55,156769.47,65473.46
Federal Period Console,27705.82,8444.18,22046.38,14105.16,23897.17,11955.2,27922.66,8124.03,24319.23,11614.4,26933.8,9676.04,28888.22,7962.1,22979.59,13788.64,28115.26,8700.39,26988.14,9576.85,23811.41,12607.8,28510.47,7804.999999999999,21560.79,14465.44,22038.6,13849.39,24430.36,11442.38,23055.25,12506.84,24219.58,11182.65,23615.93,11794.57,27638.5,7804.999999999999,23212.91,11633.75,22084.15,12918.13,23172.67,11692.75,27005.4,7804.999999999999,19260.56,11978.7,23823.74,10903.06,23504.91,11220.96,24487.32,10585.15,21884.97,13177.32,21134.12,14124.0,22939.58,12629.0
Federal Period Console 18th Century Museum Deaccessioned,8635.91,3674.09,9072.3,3213.85,7963.52,4532.53,9633.38,3004.2,7839.27,4778.87,7667.71,4762.85,7793.31,4475.9,7288.96,4617.8,7987.97,4138.51,8398.03,3922.67,9389.2,2707.03,8767.65,3054.85,8133.08,3510.77,7187.43,4310.87,7657.22,4024.69,7203.84,4747.19,8935.74,3022.78,8993.49,2918.08,9076.02,2956.79,8475.06,3735.43,8766.62,3802.55,8232.24,4312.33,7773.92,5114.43,9703.04,2854.75,8589.78,4224.7,8239.66,4634.02,7556.38,5081.47,9559.77,3145.77,8258.68,4096.5,9399.02,2848.72
Fencing Foil Set Antique,1513.09,566.91,1404.8,680.21,1382.54,702.48,1278.3,806.26,1468.66,619.57,1216.14,870.44,1436.2,648.2,1219.96,868.13,1205.12,880.91,1401.3,681.42,1347.74,737.33,1441.96,657.28,1464.58,625.65,1245.66,839.49,1496.86,597.29,1242.67,846.09,1267.17,821.81,1497.29,589.5,1499.31,572.54,1292.47,776.8,1508.32,566.57,1456.89,624.32,1460.19,623.23,1235.4,839.28,1437.38,641.69,1263.04,817.77,1499.24,590.76,1405.15,678.69,1303.55,771.95,1426.33,648.59
Fencing Foil Set Antique Belle Epoque,8055.6,4734.4,8736.96,3928.02,10182.37,2328.45,10214.59,2279.32,8900.55,3615.32,7891.38,4512.5,8906.27,3666.17,7815.12,3676.3,7578.42,3951.77,9102.99,3521.31,10775.48,2156.0,10684.66,2156.0,10710.89,2156.0,9660.42,2895.84,8182.8,4342.43,8137.25,4567.6,10292.76,2539.96,10737.81,2156.0,9174.33,3714.11,10510.23,2359.6,9259.92,3602.36,8145.96,4709.28,10593.23,2422.16,8448.09,4571.86,10127.23,2902.64,9010.8,4055.75,11637.88,2156.0,9597.45,3520.76,11109.71,2156.0,8442.27,4810.85
Fender Stratocaster 1962,18670.13,10359.87,19192.69,9865.46,19116.92,9887.56,16790.43,12280.12,19773.24,9131.33,18814.96,10115.23,18083.88,10726.37,15000.5,10380.02,18375.47,10410.62,18755.14,9969.31,18213.34,10596.95,16339.76,12486.1,18183.36,10703.14,20022.99,8905.63,20007.32,8907.23,19740.91,9221.55,19259.1,9708.61,19270.57,9759.41,17154.88,11875.17,20673.35,10650.13,18785.0,10297.3,17956.34,11195.95,16650.19,12413.25,16383.69,12600.59,16710.5,12358.71,18903.55,10184.48,18854.32,10276.61,16831.64,12332.94,16826.05,12408.37,17021.3,12299.45
Fender Stratocaster 1962 Modernist Period,33161.38,17408.62,32488.25,18338.43,31167.07,19548.23,29447.57,21388.28,33691.7,17095.43,30885.63,19678.69,33499.27,17105.81,30794.32,19627.56,33548.93,17321.47,30656.23,20412.46,30519.28,20502.92,28516.16,22606.42,33095.6,18066.04,32776.33,18172.75,30068.13,21141.86,32525.23,18753.96,33493.51,17722.63,27719.49,18865.38,30733.4,20492.25,29376.26,21753.91,33418.93,17730.79,32819.71,18448.28,29555.31,21536.73,32202.14,18867.5,29383.25,21744.15,33939.81,17125.61,30100.9,20988.87,28488.33,22375.34,29002.37,21822.81,32361.34,18686.02
Ferrari Prancing Horse Badge Collection,2439.95,1030.05,2399.59,1078.41,2101.26,1354.05,2225.58,1233.3,2248.8,1195.43,2270.3,1184.75,2348.18,1108.88,2324.0,1122.45,2259.89,1177.61,2071.01,1368.42,2097.09,1342.69,2409.39,1030.59,2119.89,1071.41,2136.69,1052.77,2396.34,1049.57,2403.21,1058.42,2038.56,1446.41,2200.68,1313.82,2123.41,1403.08,2449.65,1086.47,2430.64,1107.38,2108.76,1423.1,2265.81,1268.27,2173.27,1363.92,2476.76,1061.77,2116.79,1409.97,2316.13,1211.45,2048.67,1466.17,2275.52,1250.07,2161.38,1358.31
Ferrari Prancing Horse Badge Collection Museum Deaccessioned,615.72,204.28,514.42,306.86,513.09,293.9,601.37,198.84,631.01,184.67,660.26,168.0,569.09,255.11,591.08,238.0,598.05,252.87,630.18,209.42,676.85,169.65,586.61,299.63,605.32,290.25,720.2,175.27,614.34,288.8,644.28,269.45,713.15,210.49,654.62,268.13,584.75,381.95,689.41,227.61,705.69,199.82,645.7,256.89,694.17,224.9,712.37,199.17,663.4,268.72,754.0,189.51,650.54,311.48,575.98,369.21,731.63,187.87,584.95,308.84
Ferrari Prancing Horse Badge Collection Unrestored,4292.22,2757.78,5413.32,1667.58,5585.83,1445.98,4275.68,2788.08,5640.93,1454.77,5281.55,1759.79,5317.18,1722.58,5049.36,1947.26,4342.57,2617.58,4936.26,2092.0,4384.78,2648.62,5326.36,1746.84,4669.14,2449.08,5482.84,1594.29,4597.52,2385.78,4739.1,2184.57,4600.32,2294.7,4820.13,2076.95,4694.93,2203.22,4200.59,2695.51,5496.13,1435.0,4517.39,2404.87,4392.94,2565.89,4547.33,2420.38,5357.18,1605.29,3820.25,2468.81,4568.38,2455.38,5661.67,1435.0,5585.33,1435.0,4854.76,2082.15
Fijian War Club Carved,14659.54,8790.46,14857.2,8793.32,13739.94,9838.63,14942.92,8498.67,14706.52,8804.03,14681.18,8797.21,13382.46,9914.97,14374.35,9059.28,13097.75,10298.41,14134.69,9305.14,15027.12,8384.67,14935.59,8578.4,13703.58,9457.15,13309.49,9673.74,14231.46,8920.14,13525.3,9265.46,14370.98,8447.52,14228.46,8665.52,13340.97,9547.76,14008.97,8912.19,14687.98,8282.81,14143.66,8978.66,13194.11,9984.98,13934.44,10647.33,14490.87,9029.15,13872.09,9629.27,13848.43,9682.56,13391.33,10098.26,14002.84,9429.81,13545.8,9999.75
Fijian War Club Carved With Provenance,8912.78,5817.22,9703.58,4929.17,9468.36,5205.12,9318.31,5390.76,9347.78,5406.28,8512.15,6370.06,10421.22,4397.43,9510.65,5356.96,10408.74,4549.31,10020.0,4918.75,10156.76,5059.98,10380.63,4778.67,9999.9,5238.59,8894.02,6498.59,10123.36,5266.7,9154.89,6142.08,9269.53,6054.91,8855.62,6562.69,10230.32,5272.32,10354.67,4920.59,10115.8,5292.06,11590.08,5050.55,8887.84,6576.84,9872.27,5560.02,9773.62,5701.13,10628.19,4893.81,10246.83,5172.98,10012.97,5405.2,10689.47,4854.19,9639.8,5920.92
Fijian War Club Carved c.1930,10363.51,5956.49,12078.75,3886.93,10737.19,5576.9,13105.26,3771.93,11231.44,5628.61,13610.49,3921.46,13496.87,3555.66,10861.56,6136.8,11758.21,5349.09,13896.05,3471.67,14316.49,3383.07,14623.15,3137.39,13833.4,3706.71,11437.25,6074.65,13756.69,3927.65,12961.46,4572.96,11569.98,5903.77,12032.11,6001.28,12069.85,5679.4,15177.87,3003.0,15383.86,3003.0,13777.59,4668.74,13566.14,5246.37,15112.47,3326.16,15539.95,3262.59,11920.05,6917.33,15548.67,3145.79,13192.86,5295.47,11576.97,6720.95,11931.16,6677.72
Filigree Silver Brooch,63950.08,26029.92,61853.48,28459.48,70337.29,20018.96,59366.87,30876.95,62733.64,27860.66,59348.72,31271.98,71537.76,19208.83,70016.01,20634.34,59954.83,30922.32,56325.4,34435.35,55868.02,34758.33,55623.11,34871.15,70826.46,19652.91,63373.06,26766.87,69194.07,20876.51,68889.55,21372.0,64619.64,25387.51,69952.77,20217.39,61678.28,28151.47,64592.0,25310.64,70243.89,19681.85,63028.76,26970.76,61260.16,28726.28,60089.32,29755.71,70426.08,19433.29,70000.64,19812.51,60516.72,28963.03,57020.15,32628.86,62868.37,26706.98,60809.14,28095.78
Filigree Silver Brooch Arts & Crafts Era,45475.2,31964.8,46393.71,31458.31,53985.13,23627.45,48796.52,29387.72,50548.86,27219.49,49023.42,28456.44,44676.32,32734.25,47795.29,30324.06,49670.73,29192.98,55145.94,29538.91,47964.85,30327.94,46512.64,31292.52,54710.01,22654.76,49045.0,28267.62,52959.2,24826.07,45570.91,32097.98,51641.67,26609.87,47908.85,24151.85,47591.36,24345.62,48668.27,28952.51,46334.12,30627.3,46695.53,29868.05,49596.18,26623.78,44803.88,31148.28,49780.16,25625.4,52450.32,22794.31,52612.91,23600.46,44804.08,31525.89,47161.31,28904.15,52009.18,23226.35
Film Noir Movie Poster Original,12857.69,4422.31,11855.92,5522.53,11050.23,6430.35,12167.13,5348.65,13472.97,3993.04,13003.59,4458.28,13586.96,3760.87,10509.69,6633.64,12192.54,5095.63,12519.54,4649.67,12978.51,4223.5,10857.21,6263.93,10434.44,6424.72,13129.23,3717.55,11584.35,5326.32,11250.54,5382.43,10206.31,6391.37,13016.85,3695.999999999999,13198.57,3695.999999999999,12556.48,4136.45,11209.82,5479.31,12831.86,3695.999999999999,12573.95,3886.12,12586.23,3695.999999999999,12274.53,3719.76,9738.16,6396.44,12888.68,3695.999999999999,10426.62,5853.59,12283.87,3968.44,11242.11,4881.06
Film Noir Movie Poster Original c.1800,148.1,81.9,139.57,90.04,163.73,65.5,163.8,64.4,142.97,68.63,134.39,77.88,155.76,74.67,156.11,73.98,139.17,88.61,131.38,95.06,145.3,80.14,157.24,67.59,157.4,68.13,152.35,73.43,142.89,84.68,131.86,95.23,137.41,89.99,153.74,73.36,157.33,69.87,157.18,73.13,159.83,68.78,150.89,76.83,161.34,67.68,138.95,91.1,136.51,94.05,132.77,95.22,145.31,81.76,133.43,93.48,166.0,62.52,156.63,70.68
Film Noir Movie Poster Original c.1930,9979.28,4740.72,9540.35,5148.92,9242.65,5328.17,8801.13,5638.67,8871.14,5664.69,9270.45,5285.79,9162.82,5326.87,9571.02,4817.9,9387.4,5005.07,9668.88,4587.9,9621.32,4581.61,9521.86,4775.68,9709.28,4725.33,7214.52,5481.45,8458.95,4147.85,8510.59,5807.71,8132.18,6129.88,8427.51,5808.64,8505.43,5817.64,8603.74,5769.22,8137.82,6188.21,9164.6,5376.77,9249.74,5365.57,8470.48,6127.51,8328.7,6254.75,8524.5,6074.06,8290.38,6194.37,9142.09,5269.43,8386.89,6098.41,8638.15,5951.52
Film Noir Movie Poster Original c.1970,1451.83,668.17,1403.13,725.98,1811.87,371.0,1786.51,371.0,1585.18,551.78,1355.74,785.43,1801.22,371.0,1707.57,440.35,1422.09,727.51,1399.88,757.24,1694.6,462.07,1692.4,459.28,1873.65,371.0,1350.42,807.75,1395.84,768.79,1721.5,435.27,1574.66,579.45,1527.53,624.22,1487.94,659.01,1818.32,371.0,1656.98,492.25,1600.98,547.98,1395.07,754.99,1390.74,760.27,1775.63,386.51,1608.4,562.83,1696.93,460.43,1689.19,470.46,1823.17,371.0,1568.27,591.85
Fine 1909-S VDB Lincoln Penny c.1860,3407.98,1982.02,3729.7,1703.82,4117.99,1288.52,3612.09,1792.13,4600.91,980.0,4140.23,1171.18,3735.13,1562.71,3530.65,1721.38,3978.63,1270.49,4023.3,1154.82,3545.15,1603.98,3588.76,1847.44,3499.42,1663.26,3246.09,1891.36,3549.74,1574.27,3289.65,1823.29,4280.86,980.0,3713.9,1399.03,3822.37,1271.92,3201.32,1898.47,3736.38,1380.09,4217.38,980.0,3862.11,1267.09,3500.27,1616.02,4148.72,980.0,4017.84,1134.22,3522.08,1601.3,4147.38,980.0,4239.08,980.0,3817.21,1334.16
Fine 1913 Liberty Head Nickel c.1920,64914.6,47735.4,66012.49,47163.21,66859.75,44669.92,64417.42,50031.72,60590.9,42711.58,60428.84,45595.27,67062.93,48919.19,62860.03,50344.44,68516.25,45413.2,65884.63,44159.83,65035.72,46027.33,62984.19,47735.03,71093.98,45117.57,66608.57,47112.17,67178.19,44734.33,61656.03,50938.06,69907.82,45961.0,67967.92,49092.07,64477.4,48899.54,68534.27,44853.87,63937.52,53272.77,67277.51,52411.89,72523.95,52892.14,68852.75,56547.78,73809.14,54425.89,69614.21,56867.72,69933.76,56394.49,76078.71,52002.19,78862.99,50648.4,74478.87,58009.41
Fine 1961 Chateau Latour c.1820 Estate Fresh,4509.57,1880.43,4466.11,1933.85,4341.52,2065.32,4366.93,2040.04,3903.14,2453.45,4050.44,2335.33,4310.07,2098.19,4036.96,2358.95,4290.92,2115.04,4045.81,2342.52,3886.04,2488.37,4043.25,2327.57,4086.24,2270.25,3720.83,2611.12,3855.84,2525.66,4300.47,2077.34,4317.55,2065.02,3746.33,2631.25,3715.12,2662.81,4465.81,1925.25,3864.94,2537.05,4592.26,1814.4,4015.38,2391.64,3732.5,2667.23,4369.18,2035.11,4064.9,2869.92,3786.12,2639.66,3849.14,2616.55,4217.52,2227.9,4217.69,2205.55
Fine 1982 Petrus Pomerol,3811.33,2568.67,3599.96,2781.47,3552.16,2860.46,3893.86,2477.8,3709.76,2653.66,3797.87,2456.09,3772.42,2476.59,3710.18,2488.53,3483.4,2698.22,3638.4,2512.12,3894.89,2297.14,3836.28,2384.16,3991.91,2209.2,3541.87,2559.72,3779.59,2317.71,3762.13,2332.66,3545.26,2589.08,3589.34,2542.28,3433.44,2679.2,3984.68,2227.34,3720.79,2534.82,4024.02,2241.92,3815.81,2409.75,3763.11,2512.45,3722.38,2519.22,3972.84,2453.73,4032.89,2379.31,4082.07,2326.44,4177.34,2267.01,3602.16,2800.2
Fine African Tribal Mask Dogon Georgian Period,22404.63,17305.37,22730.3,16695.29,25202.84,13980.97,24618.57,14895.47,26623.0,12718.03,22647.32,16076.34,23061.17,15812.33,25804.32,13006.21,22847.43,16131.95,24837.77,13651.07,25839.18,12533.23,26063.96,12542.56,23771.07,14674.09,23740.07,15153.91,25723.51,12986.03,23875.74,14835.92,25387.27,13603.54,22115.11,16834.96,25698.1,13062.44,23098.53,15608.27,22256.71,16140.37,25009.49,13109.91,25223.69,12721.94,22503.97,15333.53,22558.4,14952.67,23165.4,14383.93,25598.4,14553.68,23061.29,13748.56,24608.15,12377.43,25002.47,11791.02
Fine Agatha Christie Signed First Edition With Provenance,33456.77,8281.0,31890.49,9847.79,33048.34,8623.69,28450.8,13106.5,31143.28,10903.49,25785.43,15661.14,32544.11,8419.87,24152.25,12759.63,24705.95,12371.64,26542.69,14593.18,28706.53,12670.65,29624.83,11882.49,28505.07,12955.84,30652.06,11290.86,32543.1,9560.8,30356.2,11498.86,29699.44,12073.68,26637.05,15693.74,31136.73,10842.39,30255.35,12095.31,32091.46,10175.98,31953.51,9870.35,32419.16,9428.16,27960.44,13862.5,30189.15,11732.84,30199.56,11371.94,27806.36,13562.66,33222.89,8281.0,28930.05,12690.85,27070.31,14220.98
Fine Agra Palace Carpet,4573.68,1596.32,5014.06,1151.01,5573.93,1099.0,5169.13,1315.06,3913.26,2343.95,4311.83,1912.59,4563.25,1447.01,3834.45,2157.04,5030.59,1099.0,4143.46,1908.08,4331.05,1846.38,3877.03,2271.47,4339.37,1790.99,5073.0,1099.0,5190.01,1099.0,4521.34,1167.59,5076.45,1246.77,5262.44,1099.0,4688.53,1642.84,5168.05,1099.0,3980.35,2337.66,4727.71,1660.79,4285.61,2008.76,4079.04,2299.55,4653.18,1821.89,4395.6,1947.49,5066.5,1421.57,4883.83,1643.77,4485.71,2059.44,5117.94,1500.61
Fine Ancient Roman Aureus,8207.86,2572.14,8031.18,2721.5,9252.45,1855.0,7171.91,3652.69,8240.83,2599.76,9445.09,1855.0,8025.55,2891.65,9273.85,1855.0,7512.54,3499.51,7564.45,3471.24,9595.58,1855.0,8740.38,2341.08,8203.46,2890.72,7369.46,3647.75,8705.32,2437.56,7763.85,3202.12,9019.51,1943.96,9508.92,1855.0,7010.01,3936.49,7546.26,3423.14,7252.59,3806.09,8639.92,2434.41,8762.92,2316.19,9841.83,1855.0,7682.37,3633.98,8859.95,2358.82,9520.91,2223.69,9332.57,1938.98,8407.88,2840.87,7420.93,3776.47
Fine Aneroid Barometer Victorian,13719.46,4740.54,11974.26,6410.8,12051.75,6374.11,13449.63,4991.7,11834.92,6722.46,12342.6,6172.17,13394.51,5093.66,12248.43,6342.34,14230.25,4234.27,13542.86,4929.26,11825.78,6662.52,12690.37,5767.35,11882.83,6357.76,13079.7,5327.84,12328.72,6222.56,11270.78,7215.65,12820.79,5845.6,11747.95,7066.62,14521.58,4276.03,12941.87,5829.13,14458.27,4270.53,13350.74,5595.85,14368.47,4521.35,11920.56,6985.98,14209.56,4710.74,11991.86,6855.33,13435.83,5423.64,13275.76,5465.69,11530.05,7184.79,14392.91,4466.59
Fine Ansel Adams Yosemite Print c.1840 With Provenance,2826.64,1933.36,3106.78,1677.4,2757.83,2033.45,2862.05,1927.05,3000.7,1819.62,2764.3,2048.32,3016.58,1797.1,2975.92,1850.89,2876.59,1945.22,3051.14,1776.68,3110.11,1702.84,3160.85,1647.27,3032.44,1777.68,3227.43,1572.21,2769.17,2025.37,3070.61,1711.45,3204.59,1571.0,3015.51,1741.88,3090.92,1667.2,3167.92,1601.84,3067.16,1714.38,3182.8,1596.45,2754.36,2026.46,2973.87,1793.11,3190.19,1583.93,3034.83,1745.83,3060.69,1744.89,2741.81,2044.78,2782.64,1985.41,3027.89,1737.25
Fine Antique Brass Door Hardware Set,161.52,108.48,152.15,117.18,162.89,108.77,152.94,122.54,166.98,103.27,156.59,114.82,169.86,103.24,158.5,109.25,169.06,101.12,148.32,119.63,166.88,98.9,159.1,114.09,149.08,92.96,135.13,101.06,168.45,100.57,155.79,111.37,151.01,116.07,156.01,114.16,153.69,114.12,161.23,100.35,145.42,115.18,159.44,106.1,156.71,114.5,152.53,120.58,164.44,113.5,173.86,102.59,160.69,114.66,168.35,123.05,162.36,109.88,161.43,111.25
Fine Antique Fireplace Mantel Marble Excellent Condition,834.26,325.74,750.11,413.65,770.63,394.04,807.78,357.24,871.59,288.2,921.62,241.42,861.48,299.7,895.99,270.14,739.89,431.52,918.06,249.01,877.54,285.67,826.36,337.7,752.87,406.46,816.73,237.99999999999997,864.75,295.74,910.9,252.39,939.56,237.99999999999997,790.78,379.12,745.38,426.54,739.62,435.11,743.31,426.32,760.23,406.87,713.19,456.3,806.98,364.14,785.49,382.53,893.14,276.6,813.07,356.58,940.22,237.99999999999997,893.69,277.46,743.2,428.2
Fine Antique Weathervane Copper Arts & Crafts Era,5999.81,2250.19,5102.21,3131.48,6331.14,1935.61,5487.59,2680.13,5388.85,2749.31,6184.16,1964.33,5486.19,2656.92,5054.22,3095.14,5178.04,3006.91,6340.73,1763.56,4880.46,3213.75,5460.54,2617.2,6257.37,1822.72,5766.36,2302.21,5146.49,2913.86,5133.78,3013.37,5015.77,3118.16,4924.71,3253.27,5563.5,2675.6,6301.9,1970.01,5620.99,2667.02,5290.64,3015.5,6211.93,2071.22,6388.87,1840.46,5037.76,3188.86,5261.26,2975.04,6533.17,1787.15,6067.64,2249.33,6364.35,1900.81,6390.66,1893.45
Fine Apothecary Scale Marble Base,7601.06,4528.94,7520.77,4536.9,8985.0,3128.08,8389.25,3772.27,8846.24,3300.59,7431.23,4609.56,8037.24,4001.51,7761.89,3381.15,7260.89,4597.56,8458.67,3488.27,9021.52,2850.27,7611.91,4328.63,7875.09,4001.58,8053.52,3705.46,7321.85,4400.07,8073.91,3739.4,8345.27,3490.43,7549.56,4246.46,8901.57,3097.57,7937.89,4104.27,8585.2,3416.1,7718.15,4200.57,9031.42,2986.42,7210.24,4695.02,7962.89,3949.19,8085.01,3897.82,7564.43,4295.32,9274.12,2625.0,8898.39,2913.12,8772.69,2978.4
Fine Art Exhibition Poster Picasso Regency Period,10634.73,6795.27,11552.35,5857.14,12754.86,4567.84,13456.29,3800.999999999999,12626.31,4532.14,10442.91,6565.28,12376.4,4631.57,12207.24,4857.95,10645.03,6240.59,12026.49,4633.91,11735.95,3800.999999999999,10357.0,5132.93,10123.94,6763.88,12079.1,4836.18,10656.42,6320.48,13301.54,3800.999999999999,12594.11,4179.83,11296.72,5452.83,10755.59,5929.65,10454.6,5905.16,11860.41,4528.65,12512.92,3924.3,10109.23,6458.41,12275.34,4134.18,11937.4,4209.12,9849.69,6171.75,10810.43,5078.05,10374.44,5661.67,9723.8,6249.6,10250.66,5701.8
Fine Art Nouveau Bronze Table Lamp,291.85,118.15,296.85,111.77,278.39,129.25,248.51,158.54,251.6,155.3,281.33,126.1,267.04,138.82,270.37,134.33,285.66,116.8,270.75,132.95,235.44,167.51,233.55,166.57,284.08,115.13,245.09,175.16,283.14,113.5,239.57,157.89,258.12,131.22,264.62,123.05,249.64,136.31,241.43,142.33,224.23,156.15,254.79,123.05,254.75,123.37,253.94,127.39,276.29,103.52,229.01,151.95,270.44,106.57,257.41,117.17,263.45,111.35,219.97,154.39
Fine Astrolabe Reproduction Empire Period,7077.36,5792.64,7153.19,5662.79,6978.56,5854.2,7562.87,5431.72,7143.57,5936.38,7729.39,5265.65,7383.76,5636.6,7566.19,5419.12,7645.01,5311.19,7192.07,5898.98,6984.62,6070.32,7463.46,5678.23,7663.15,5457.87,7426.51,5583.66,7111.18,5951.32,6963.74,5997.86,7608.97,5424.14,7317.12,5890.16,7555.6,5655.83,6736.79,5665.46,7534.08,5838.87,7779.88,5515.17,7425.33,5937.39,7733.67,5612.48,7330.93,6020.94,7820.8,5444.37,7360.09,5914.1,7912.71,5251.85,7162.28,6076.9,7517.53,5720.81
Fine Audubon Birds Print,27345.76,12444.24,30987.1,8680.19,28046.13,11342.92,34357.83,6335.0,25714.85,13719.0,29315.19,10159.49,28846.95,10863.51,33963.93,6335.0,34566.14,6335.0,33990.48,6335.0,29030.66,10352.4,27623.27,11715.39,34931.95,6335.0,27036.92,12235.76,30984.45,8146.66,26170.02,12869.4,35025.17,6335.0,28019.37,10968.85,24849.79,14199.57,23444.39,11798.54,27976.45,11028.76,25435.25,13739.28,25906.53,13489.77,30812.85,8555.64,33601.54,6335.0,28955.32,10293.15,26775.01,12591.68,30591.33,8686.69,28910.47,10519.65,33145.14,6335.0
Fine Aviation Chart WWII Pacific Art Deco Period,1484.14,1065.86,1553.8,1013.32,1601.0,960.97,1636.68,935.56,1605.59,965.86,1422.65,1150.17,1619.97,1094.34,1521.97,1053.37,1664.4,898.93,1469.24,941.89,1480.52,945.47,1427.83,1147.7,1602.32,992.32,1480.38,1128.22,1586.97,1024.87,1493.71,1131.2,1461.44,1160.63,1493.92,1123.97,1689.25,923.9,1630.01,960.76,1610.48,981.18,1539.01,1041.63,1501.31,1063.23,1495.24,1080.66,1575.0,989.21,1625.08,936.76,1605.07,956.53,1655.36,928.58,1618.17,963.0,1559.19,978.12
Fine Babe Ruth Signed Baseball c.1780,37811.71,28578.29,40983.08,26427.17,42252.5,23852.33,43943.44,22183.32,44953.33,20837.44,38334.78,26093.01,37951.06,27871.65,41650.1,20803.89,35312.73,27146.63,40716.94,22790.0,38779.78,22794.56,35758.79,23710.24,35376.93,24485.4,34153.95,24981.0,39062.64,20127.81,35492.13,26089.07,38012.2,23660.19,40646.56,22271.3,38853.22,24743.49,39104.87,23327.62,41535.53,19807.15,36072.9,25487.03,38792.15,23622.72,42368.74,19895.14,40166.27,21823.0,38758.13,22698.51,39416.13,21795.89,36387.12,26383.97,38029.3,25294.01,40370.94,23491.99
Fine Backgammon Set Leather Vintage c.1920,1052.24,547.76,1309.99,277.93,1297.23,287.05,1411.04,251.99999999999997,1219.33,345.9,1379.86,251.99999999999997,1080.82,486.0,1189.11,392.76,1179.95,413.82,1372.72,251.99999999999997,1442.58,251.99999999999997,1309.1,290.21,1293.48,305.65,1249.95,364.06,1221.41,396.01,1299.16,455.11,1465.13,251.99999999999997,1423.7,251.99999999999997,1183.37,450.17,1362.31,274.79,1372.81,255.65,1454.54,251.99999999999997,1440.84,251.99999999999997,1159.55,498.31,1105.99,557.72,1285.1,387.45,1297.81,383.24,1162.66,514.64,1257.83,420.93,1088.47,589.65
Fine Bakhtiari Garden Design Rug From Private Collection,4593.89,3186.11,5232.1,2565.82,5286.9,2513.78,5032.66,2782.73,4836.26,2972.63,5282.26,2573.24,4827.04,3034.75,4566.6,3300.59,5155.31,2748.76,4822.26,3037.59,5254.63,2600.38,4605.93,3235.43,5148.21,2679.9,5152.62,2651.75,4410.83,3354.06,5052.5,2657.97,4359.48,3334.89,4444.94,3258.3,5309.72,2416.6,4985.98,2746.01,4395.38,3365.02,5350.5,2424.19,4552.79,3227.11,5057.22,2731.61,4404.97,3375.71,5011.64,2810.0,4467.25,3356.97,5342.11,2441.25,4434.05,3342.1,4982.3,2798.94
Fine Baluch Prayer Rug,26748.86,14891.14,30513.22,10722.3,30529.21,10901.52,28673.01,13065.03,27422.85,14076.21,33065.71,8362.77,34302.64,8147.999999999999,29687.24,11927.94,33403.71,8147.999999999999,29464.19,11523.18,29960.88,11299.92,25483.44,15983.36,28933.49,16010.05,34257.5,8147.999999999999,30223.81,11819.89,31486.52,10295.61,30919.61,10582.82,27300.39,14210.97,29952.7,11736.42,32858.81,9019.17,30407.84,11656.61,33707.8,8708.94,30666.95,8147.999999999999,24438.37,14034.31,34101.62,8698.99,28337.34,14128.61,35347.94,8147.999999999999,31068.55,12025.16,27063.12,16329.86,27572.05,15307.26
Fine Banjo Clock American Federal Federal Period,4865.48,1664.52,4125.86,2407.25,4288.6,2255.09,4129.16,2402.92,4905.02,1599.93,5261.75,1330.0,4117.45,2452.72,4294.83,2274.03,5276.14,1330.0,4630.18,1877.21,4495.99,1899.72,3971.21,1887.05,4900.11,1535.67,4417.14,2047.71,4595.21,1867.69,5100.53,1332.71,4040.14,2512.16,4216.33,2266.04,5220.38,1330.0,4494.93,2046.34,4013.27,2468.47,4079.95,2380.52,4882.66,1582.14,4617.78,1801.23,5195.94,1330.0,4961.14,1517.95,4143.58,2357.14,5544.73,1364.02,4981.24,1507.19,5116.52,1458.68
